JobTitle,Gender,Age,PerfEval,Education,Dept,Seniority,BasePay,Bonus
Manager,Male,33,4,College,Engineering,3,52982,3885
IT,Male,24,2,College,Marketing,5,85343,3303
Graphic Designer,Female,31,3,PhD,Finance,4,64148,4113
Graphic Designer,Male,25,1,College,Marketing,4,139287,3490
Graphic Designer,Male,64,1,College,Operations,3,97972,8096
Human Resources,Male,61,3,Masters,Operations,4,89883,9652
Software Engineer,Female,45,4,Masters,Sales,1,60615,9456
Software Engineer,Male,34,3,College,Marketing,3,126862,9587
Graphic Designer,Female,51,2,PhD,Management,1,71740,6503
Financial Analyst,Male,32,2,High School,IT,4,142047,9220
Financial Analyst,Female,41,1,College,Operations,2,59599,5564
IT,Female,52,1,High School,Management,4,106916,9986
Marketing Associate,Female,42,1,PhD,Management,4,141092,9006
Marketing Associate,Female,38,5,College,Operations,2,126525,8394
Software Engineer,Male,24,2,Masters,Marketing,2,51577,4161
Software Engineer,Male,63,1,High School,Sales,4,121312,4882
Financial Analyst,Female,60,1,Masters,Operations,2,128861,8757
Sales Associate,Female,21,2,College,IT,2,146709,9314
Manager,Female,44,2,College,Management,5,93768,5760
Marketing Associate,Female,36,1,Masters,Sales,1,67383,9405
Financial Analyst,Female,31,3,Masters,Administration,5,108380,4680
Human Resources,Male,30,1,PhD,Operations,5,50116,5533
Marketing Associate,Male,58,2,High School,Sales,4,110503,5282
Manager,Male,63,4,College,Administration,2,148653,6601
Manager,Male,48,3,College,Marketing,4,88527,3944
Graphic Designer,Female,37,4,Masters,Finance,5,112306,6882
Marketing Associate,Female,64,3,PhD,Sales,1,147622,9296
IT,Male,43,5,Masters,Operations,4,92316,3384
Financial Analyst,Female,61,4,College,Sales,4,113959,3156
Financial Analyst,Female,44,1,Masters,Finance,5,120738,4459
Graphic Designer,Male,29,3,High School,Management,4,120303,4591
Marketing Associate,Female,60,2,High School,Administration,5,121450,8447
Software Engineer,Female,30,1,PhD,Administration,3,101614,8503
Graphic Designer,Female,46,1,Masters,Finance,1,92240,7087
Sales Associate,Female,50,2,College,Finance,5,121561,8298
IT,Female,43,5,High School,Finance,5,59400,5779
Marketing Associate,Female,56,1,Masters,IT,3,117624,5316
Financial Analyst,Female,43,3,Masters,Engineering,4,114509,8323
Sales Associate,Female,48,2,Masters,Operations,2,81639,9271
Software Engineer,Female,24,5,High School,IT,5,57268,8041
Human Resources,Male,48,4,High School,Operations,4,66653,3978
Human Resources,Male,56,4,College,Finance,2,143875,6978
Human Resources,Female,46,2,College,Finance,4,92084,9427
Software Engineer,Female,60,5,Masters,Finance,1,120734,5352
Human Resources,Female,57,2,Masters,Marketing,4,103062,8609
Financial Analyst,Male,45,3,College,Sales,5,100754,9599
Marketing Associate,Female,50,2,Masters,Engineering,1,147717,9139
Sales Associate,Female,35,4,Masters,Marketing,3,135245,3545
Human Resources,Female,38,2,Masters,IT,5,136748,6049
Graphic Designer,Male,26,3,PhD,Operations,5,70562,8799
Marketing Associate,Male,54,4,PhD,Engineering,4,141359,6393
Marketing Associate,Female,51,2,High School,Sales,3,74758,8464
Manager,Male,61,2,High School,Operations,2,68915,4155
Human Resources,Female,33,3,Masters,IT,1,126644,3481
Software Engineer,Female,33,5,PhD,IT,3,122405,4866
Graphic Designer,Male,56,5,High School,Engineering,1,117627,6796
Financial Analyst,Male,62,3,High School,Engineering,2,84500,4135
Manager,Female,48,5,PhD,Sales,2,80876,7877
Sales Associate,Male,39,3,High School,Marketing,1,138331,6500
Human Resources,Female,30,5,Masters,Management,4,75747,9357
IT,Female,20,3,College,Management,1,132830,6781
IT,Male,65,4,PhD,Marketing,2,94915,8509
Human Resources,Female,59,1,College,Management,2,133980,4533
Human Resources,Male,42,4,College,Engineering,3,99484,6029
Financial Analyst,Male,20,5,High School,Finance,1,118103,7759
IT,Male,58,2,Masters,Finance,4,59916,5734
Marketing Associate,Female,64,1,Masters,Finance,5,56190,4564
Human Resources,Female,21,2,High School,Management,1,64795,8298
Graphic Designer,Female,38,2,High School,Management,2,113384,7645
IT,Male,56,2,PhD,Finance,2,114410,9890
Sales Associate,Female,34,1,College,Engineering,2,62752,6766
Human Resources,Male,59,2,College,Administration,1,89382,7147
Graphic Designer,Female,64,1,PhD,Engineering,5,72349,7666
Manager,Female,24,1,College,Management,5,95047,5937
Graphic Designer,Female,35,1,PhD,IT,1,106704,7436
Software Engineer,Male,31,3,College,IT,1,51161,9387
IT,Male,52,1,College,Marketing,4,108849,4036
Software Engineer,Female,55,2,College,Operations,5,117701,9914
Marketing Associate,Female,58,1,Masters,Administration,4,87207,7530
Manager,Female,62,5,College,Operations,2,74326,9811
Financial Analyst,Female,48,3,PhD,Management,2,62579,6721
Financial Analyst,Male,54,1,PhD,Operations,2,91898,5525
Financial Analyst,Male,31,1,College,Operations,4,88786,4228
Software Engineer,Female,60,5,Masters,Management,3,66353,3481
Sales Associate,Female,65,4,High School,Operations,3,70651,4448
Graphic Designer,Male,21,4,College,Finance,4,104453,5209
Software Engineer,Female,41,4,Masters,Marketing,5,149057,5753
IT,Male,61,5,Masters,Finance,2,95104,4333
Human Resources,Male,56,2,College,IT,2,60691,9743
Software Engineer,Female,24,3,College,Operations,3,129871,5240
Graphic Designer,Male,63,4,College,Management,1,130402,7982
Marketing Associate,Male,41,1,PhD,Operations,1,78107,8506
IT,Female,26,4,College,Management,4,60605,6670
Marketing Associate,Male,32,5,PhD,Sales,5,51908,6614
IT,Female,22,2,College,Administration,4,76665,3555
IT,Female,20,4,College,Marketing,3,83028,5696
Graphic Designer,Female,20,5,High School,Sales,4,114965,5359
Financial Analyst,Male,24,4,Masters,Operations,5,135444,9650
Marketing Associate,Male,58,3,High School,Administration,2,66949,6284
Marketing Associate,Female,50,5,Masters,IT,5,128219,4012
Sales Associate,Female,32,2,High School,Sales,5,140931,8028
IT,Male,52,2,PhD,Engineering,3,106574,8257
Financial Analyst,Male,24,1,Masters,Engineering,4,70879,7291
Manager,Female,60,5,PhD,Marketing,3,65799,5385
Financial Analyst,Male,56,4,College,Operations,2,123038,3172
IT,Female,20,2,High School,Administration,2,96303,4756
Manager,Male,56,2,College,Administration,4,142017,8829
Marketing Associate,Female,38,5,High School,Operations,5,71835,7596
Marketing Associate,Male,60,3,College,Management,3,86206,7207
Financial Analyst,Male,37,4,High School,Engineering,3,78541,9324
Software Engineer,Male,46,5,PhD,Marketing,5,83577,9648
Human Resources,Female,47,1,High School,Management,4,141101,6981
Marketing Associate,Female,54,3,High School,Engineering,4,75919,9421
Software Engineer,Male,23,1,College,Operations,4,54413,8333
Human Resources,Male,62,1,PhD,Administration,2,64698,8429
Graphic Designer,Male,35,1,College,Administration,3,145476,9404
Graphic Designer,Female,58,2,College,Engineering,4,99412,7180
Human Resources,Female,44,4,Masters,Finance,3,110958,8782
Software Engineer,Female,52,2,High School,Management,2,138699,3738
Financial Analyst,Female,31,2,PhD,Management,3,67344,8261
Manager,Female,65,2,College,Management,3,130645,9826
Marketing Associate,Female,20,4,Masters,Management,1,133044,7724
Financial Analyst,Female,27,1,PhD,Operations,5,66163,5275
Software Engineer,Female,64,1,Masters,Management,4,114824,6943
Marketing Associate,Female,59,2,College,Engineering,1,107758,7542
Human Resources,Male,43,3,PhD,Engineering,4,73374,4469
Marketing Associate,Male,25,1,College,Operations,1,137507,6881
Graphic Designer,Female,58,1,PhD,Administration,5,136242,8741
Marketing Associate,Female,43,1,College,Sales,1,54225,6923
Sales Associate,Female,63,5,Masters,Administration,3,60545,3103
Sales Associate,Male,35,5,College,Management,5,130838,8653
Manager,Male,26,3,PhD,Administration,5,108137,4094
IT,Male,23,1,Masters,Management,3,103842,5737
Human Resources,Male,45,1,College,Management,5,102110,5256
Graphic Designer,Male,25,5,PhD,Sales,4,78406,6200
Software Engineer,Male,55,4,PhD,Engineering,5,116004,3190
Marketing Associate,Female,30,1,College,IT,5,146005,3971
Software Engineer,Male,48,5,Masters,Marketing,1,101022,4967
Graphic Designer,Female,21,3,Masters,Finance,2,119607,9993
Human Resources,Male,49,5,High School,Operations,2,94031,4410
Financial Analyst,Male,61,1,Masters,Marketing,2,73969,6723
Marketing Associate,Male,21,4,College,Finance,2,137722,3393
IT,Male,21,5,High School,Marketing,1,68873,3890
Human Resources,Male,24,1,PhD,Sales,1,53189,8469
Human Resources,Female,20,2,College,Administration,3,121812,4508
Human Resources,Male,56,5,College,Marketing,3,72032,9169
Software Engineer,Female,51,2,PhD,Sales,3,58252,3489
Financial Analyst,Male,30,3,High School,Engineering,5,111135,3798
Sales Associate,Male,31,1,Masters,Operations,5,138493,9766
